citric acid,residual sugar,pH,sulphates,alcohol,type
0.13,1.6,3.34,0.59,9.2,1
0.1,2.8,3.6,0.66,10.2,1
0.32,1.9,3.2,0.55,9.5,1
0.29,13.65,3.0,0.6,9.5,0
0.26,2.0,3.41,0.74,9.2,1
0.26,1.9,3.39,0.64,9.6,1
0.17,1.6,3.3,0.43,11.4,0
0.23,7.2,3.14,0.35,9.5,0
0.29,2.9,3.04,0.37,12.5,0
0.21,1.9,3.27,0.58,9.5,1
0.31,1.8,3.18,0.47,9.4,0
0.55,2.1,3.26,0.79,10.6,1
0.1,3.1,3.54,0.6,11.2,1
0.24,1.7,3.25,0.53,11.2,0
0.45,2.3,3.0,0.7,9.3,1
0.0,2.2,3.42,0.68,10.8,1
0.48,1.7,3.19,0.62,9.5,1
0.3,2.25,3.2,0.62,9.9,0
0.32,5.9,3.31,0.4,11.6,0
0.48,2.6,3.09,0.53,11.0,1
0.62,7.5,3.23,0.43,13.4,0
0.24,2.2,3.33,0.48,9.4,1
0.24,1.7,3.53,0.53,9.6,0
0.49,4.9,2.85,0.54,10.0,0
0.35,15.3,3.27,0.5,9.6,0
0.09,11.4,3.15,0.46,9.0,0
0.37,1.9,3.23,0.81,12.0,1
0.04,2.1,3.39,0.64,9.4,1
0.49,7.8,3.17,0.45,9.4,0
0.14,1.6,3.27,0.62,9.3,1
0.51,7.8,3.12,0.45,9.6,0
0.39,1.5,3.47,0.73,10.9,1
0.0,1.7,3.53,0.49,10.9,1
0.06,4.0,3.36,0.67,10.7,1
0.26,2.0,3.28,0.52,9.9,1
0.31,1.7,3.72,0.69,10.5,0
0.28,2.4,3.26,0.39,11.7,1
0.07,3.4,3.31,0.71,9.8,1
0.25,12.5,3.33,0.43,9.4,0
0.45,7.8,3.33,0.77,11.2,0
0.03,1.8,3.35,0.54,10.1,1
0.29,2.5,3.09,0.37,9.8,0
0.24,1.1,3.41,0.32,10.4,0
0.12,1.3,3.18,0.41,10.0,0
0.34,8.0,2.99,0.59,9.4,0
0.1,3.3,3.36,0.49,9.5,1
0.36,1.7,3.27,0.78,10.9,1
0.0,4.25,3.63,0.54,10.7,1
0.29,14.4,3.05,0.5,9.1,0
0.26,2.2,3.11,0.48,12.15,0
0.66,5.8,3.07,0.73,10.0,1
0.34,6.0,3.19,0.4,9.1,0
0.49,9.4,3.14,0.48,10.0,0
0.13,2.0,3.29,0.54,10.1,1
0.06,6.0,3.41,0.59,10.8,1
0.3,13.9,3.36,0.5,12.0,0
0.27,7.1,3.16,0.38,9.4,0
0.49,2.6,3.35,0.57,9.7,1
0.39,2.4,3.31,0.77,12.5,1
0.26,2.0,3.21,0.52,9.9,1
0.47,1.4,3.09,0.56,10.1,0
0.22,2.8,3.24,0.45,9.8,0
0.3,15.6,3.19,0.49,9.3,0
0.3,1.9,3.31,0.56,10.4,1
0.51,4.0,3.28,0.97,10.1,1
0.28,7.2,3.08,0.59,11.3,0
0.0,2.6,3.44,0.53,9.5,1
0.31,2.8,3.32,0.63,9.5,1
0.26,2.0,3.04,0.39,11.2,0
0.64,17.0,3.15,0.51,9.3,0
0.49,2.6,3.08,0.59,9.1,1
0.28,9.4,3.17,0.34,12.1,0
0.4,2.4,3.33,0.7,12.8,1
0.55,1.8,3.17,0.62,9.4,1
0.65,6.4,3.27,0.58,11.0,1
0.3,3.9,3.26,0.58,12.75,0
0.09,1.5,3.5,0.48,9.8,1
0.12,2.0,3.37,0.5,9.4,1
0.64,2.9,3.23,0.66,12.5,1
0.39,2.2,2.89,0.5,9.6,1
0.28,7.7,3.06,0.5,9.4,0
0.31,1.8,3.35,0.5,12.7,0
0.42,1.6,3.29,0.69,11.2,1
0.49,1.2,3.08,0.34,9.4,0
0.41,2.4,3.13,0.58,11.9,1
0.14,7.05,3.23,0.42,9.0,0
0.04,2.2,3.4,0.63,9.4,1
0.0,2.0,3.45,0.58,11.3,1
0.63,3.8,3.01,0.81,10.8,1
0.11,1.5,3.42,0.58,9.6,1
0.2,1.75,3.38,0.49,11.7,1
0.25,6.2,3.09,0.54,10.8,0
0.27,1.9,3.16,0.85,11.1,1
0.4,4.7,3.38,0.66,11.6,1
0.58,4.0,3.22,0.78,10.1,1
0.4,2.2,3.26,0.64,11.8,1
0.24,2.5,3.26,0.58,10.0,1
0.66,10.8,3.05,0.46,8.7,0
0.31,2.3,3.52,0.65,9.7,1
0.23,2.9,3.28,0.5,10.0,0
0.21,7.2,3.16,0.49,9.8,0
0.0,2.7,3.44,0.63,11.3,1
0.66,2.95,3.24,0.75,11.7,1
0.49,8.8,2.88,0.34,10.5,0
